K,Accuracy
1,90.91
2,90.91
3,90.21
4,90.21
5,86.71
6,86.01
7,83.92
8,81.12
9,81.12
10,81.12
11,78.32
12,77.62
13,78.32
14,76.92
15,76.92
16,76.92
17,76.92
18,77.62
19,77.62
20,76.92
