Num_Processes,Num_Particles,Num_Dimensions,Total_Time(ms),Comm_Time(ms),Comp_Time(ms)
4,100,10,250008.987665,8.987665,250000.000000
4,100,20,500007.801771,7.801771,500000.000000
4,100,30,750006.825209,6.825209,750000.000000
4,100,40,1000004.182339,4.182339,1000000.000000
4,100,50,1250004.373789,4.373789,1250000.000000
4,200,10,500003.860235,3.860235,500000.000000
4,200,20,1000004.171610,4.171610,1000000.000000
4,200,30,1500004.208565,4.208565,1500000.000000
4,200,40,2000004.426241,4.426241,2000000.000000
4,200,50,2500008.985758,8.985758,2500000.000000
4,300,10,750006.203890,6.203890,750000.000000
4,300,20,1500006.705761,6.705761,1500000.000000
4,300,30,2250006.842613,6.842613,2250000.000000
4,300,40,3000008.527040,8.527040,3000000.000000
4,300,50,3750007.875443,7.875443,3750000.000000
4,500,10,1250003.460646,3.460646,1250000.000000
4,500,20,2500004.247427,4.247427,2500000.000000
4,500,30,3750006.165743,6.165743,3750000.000000
4,500,40,5000009.667635,9.667635,5000000.000000
4,500,50,6250009.609938,9.609938,6250000.000000
4,1000,10,2500004.444599,4.444599,2500000.000000
4,1000,20,5000005.784035,5.784035,5000000.000000
4,1000,30,7500011.653900,11.653900,7500000.000000
4,1000,40,10000012.272358,12.272358,10000000.000000
4,1000,50,12500012.274742,12.274742,12500000.000000
