K,Accuracy
1,81.82
2,81.82
3,82.52
4,82.52
5,82.52
6,82.52
7,82.52
8,82.52
9,79.72
10,77.62
11,76.22
12,75.52
13,73.43
14,74.13
15,74.13
16,74.83
17,74.83
18,74.83
19,74.13
20,73.43
